"","country","ccode","year","month","dates","elecViolence1","l.elecViolence1","elecViolence2","l.elecViolence2","anticipation","regimetenure","lastelection","pcgdp","growth","logIMR","lnpop2","logpredict","SPI","lexconst","lpolity2","lpolcomp","tae1","nvio1","tae2","nvio2","political_violence"
"764","Belarus",370,2001,9,"9/9/2001","vio",1,"vio",1,1,87,0,1247.209961,0.971468389,2.332144022,84.85028076,0.002242034,-0.357711006,2,-7,2,1,2,1,2,-0.360058277845383
"765","Belarus",370,2008,9,"9/28/2008","vio",1,"vio",1,0,171,3.433987141,6366.819824,1.347030401,1.722766638,84.23553467,9.4e-05,0.567048259,2,-7,2,1,5,1,5,-0.360058277845383
"766","Belarus",370,2012,9,"9/23/2012","vio",1,"vio",1,0,219,3.091042519,6720.350098,1.06664598,1.386294365,84.17752838,5.83e-05,0.31680816,2,-7,2,1,7,1,7,-0.320459514856339
"767","Armenia",371,2003,2,"2/19/2003","peace",0,"peace",0,1,61,0,923.3870239,1.185163617,3.135494232,64.42752838,0.00034588,0.251129444,5,5,8,7,0,7,0,-0.360058277845383
"768","Armenia",371,2008,2,"2/19/2008","vio",1,"peace",0,1,121,0,3913.439941,1.270997643,2.884800673,64.52449036,0.001299956,-0.637321563,5,5,7,1,1,11,0,-0.360058277845383
"769","Armenia",371,2013,2,"2/18/2013","vio",0,"vio",0,1,59,0,3732.040039,1.043772578,2.624668598,64.84697634,0.000694843,-0.662184104,5,5,7,2,2,13,1,-0.35823655128479
"770","Armenia",371,1998,3,"3/16/1998","peace",0,"peace",0,1,2,0,608.414978,1.16583848,3.374168634,64.68035889,0.002826029,0.331620476,3,-6,2,4,0,4,0,-0.360058277845383
"771","Armenia",371,1998,3,"3/30/1998","peace",0,"peace",0,1,2,0,608.414978,1.16583848,3.374168634,64.68035889,0.002826029,0.331620476,3,-6,2,5,0,5,0,-0.360058277845383
"772","Armenia",371,2003,3,"3/5/2003","peace",0,"peace",0,1,62,0,923.3870239,1.185163617,3.135494232,64.42752838,0.000378025,0.504703328,5,5,8,8,0,8,0,-0.360058277845383
"773","Armenia",371,2017,4,"4/2/2017","vio",1,"vio",1,0,109,2.833213329,3690.300049,1.044632554,2.53369689,64.90329621,0.000653783,0.43206454,5,5,7,1,3,1,2,-0.340972274541855
"774","Armenia",371,1999,5,"5/30/1999","peace",0,"peace",0,0,16,2.708050251,597.2410278,0.981634319,3.328626633,64.58453369,0.000386648,-2.216515987,5,5,8,6,0,6,0,-0.360058277845383
"775","Armenia",371,2003,5,"5/25/2003","peace",0,"peace",0,1,64,0,923.3870239,1.185163617,3.135494232,64.42752838,0.001051845,0.828426506,5,5,8,9,0,9,0,-0.360058277845383
"776","Armenia",371,2007,5,"5/12/2007","vio",0,"peace",0,0,112,2.944438934,3079.030029,1.446810722,2.933856726,64.49886322,0.000118494,0.055933186,5,5,7,10,0,10,0,-0.359653443098068
"777","Armenia",371,2012,5,"5/6/2012","peace",1,"peace",0,0,50,3.951243639,3575.530029,1.043526888,2.681021452,64.92931366,0.000519391,-0.579839371,5,5,7,1,2,12,0,-0.360058277845383
"778","Armenia",371,1995,7,"7/5/1995","peace",0,"peace",0,1,46,0,399.5759888,2.028510571,3.517497778,65.26104736,0.001290755,-1.483938736,5,7,9,1,0,1,0,-0.308294951915741
"779","Armenia",371,1995,7,"7/29/1995","peace",0,"peace",0,1,46,0,399.5759888,2.028510571,3.517497778,65.26104736,0.001290755,-1.483938736,5,7,9,2,0,2,0,-0.308294951915741
"780","Armenia",371,1996,9,"9/22/1996","peace",0,"peace",0,1,60,0,503.7739868,1.260771394,3.468856096,65.0037384,0.003680066,-0.371261638,3,3,7,3,0,3,0,-0.352346867322922
"781","Georgia",372,2004,1,"1/4/2004","peace",1,"peace",0,1,2,0,1201.949951,1.300319076,3.161246777,70.83582306,0.001863848,0.569141326,5,5,7,1,2,7,0,-0.360058277845383
"782","Georgia",372,2008,1,"1/5/2008","peace",0,"peace",0,1,2,0,3158.879883,1.274373889,2.84490943,70.36235809,8.05e-05,-0.614104072,5,6,8,3,2,9,0,-0.360058277845383
"783","Georgia",372,1992,10,"10/11/1992","vio",0,"peace",0,0,8,2.890371799,211.4358215,0.703749776,3.68887949,73.6907959,0.006026958,0.318940894,5,4,6,1,0,1,0,-0.210148632526398
"784","Georgia",372,1992,10,"10/11/1992","vio",0,"peace",0,0,8,2.890371799,211.4358215,0.703749776,3.68887949,73.6907959,0.006026958,0.318940894,5,4,6,1,0,1,0,-0.210148632526398
"785","Georgia",372,1999,10,"10/31/1999","peace",0,"peace",0,0.142857149,92,3.871201038,627.5800171,0.783813715,3.493472815,71.87054443,0.002712779,-0.993626504,5,5,8,3,1,4,0,-0.254892617464066
"786","Georgia",372,2012,10,"10/1/2012","peace",1,"peace",0,0,58,4.060442924,4130.549805,1.113145709,2.549445152,70.32705688,0.000114633,-0.477921624,5,6,8,1,3,11,0,-0.357012212276459
"787","Georgia",372,2013,10,"10/27/2013","peace",0,"peace",0,1,70,0,4266.589844,1.032935143,2.484906673,68.5653604,0.000499786,-0.764225551,6,7,8,2,3,12,0,-0.357012212276459
"788","Georgia",372,2016,10,"10/8/2016","peace",0,"peace",0,0,36,3.610917807,3871.820068,1.029216528,2.360854149,68.21785197,0.000498626,2.127804992,6,7,8,3,3,13,0,-0.360058277845383
"789","Georgia",372,2018,10,"10/28/2018","peace",0,"peace",0,1,60,4.110873699,4528.910156,1.098367572,2.360854149,68.18787621,0.000934078,-0.118029464,6,7,8,4,3,14,0,-0.360058277845383
"790","Georgia",372,1995,11,"11/5/1995","peace",1,"peace",0,1,45,0,397.8479919,2.371050119,3.640214205,72.78050232,0.00279878,-0.134741536,5,4,6,1,1,2,0,-0.2717225253582
"791","Georgia",372,1995,11,"11/5/1995","peace",1,"peace",0,1,45,0,397.8479919,2.371050119,3.640214205,72.78050232,0.00279878,-0.134741536,5,4,6,1,1,2,0,-0.2717225253582
"792","Georgia",372,1995,11,"11/19/1995","peace",0,"peace",0,1,45,0,397.8479919,2.371050119,3.640214205,72.78050232,0.00279878,-0.134741536,5,4,6,2,1,3,0,-0.2717225253582
"793","Georgia",372,2003,11,"11/2/2003","vio",0,"peace",0,0,71,3.784189701,924.3499756,1.189956546,3.238678455,71.02209473,0.00157901,0.239797731,5,5,7,5,1,6,0,-0.357012212276459
"794","Georgia",372,2004,3,"3/28/2004","peace",0,"peace",0,0,3,1.098612309,1201.949951,1.300319076,3.161246777,70.83582306,0.000305985,0.553501046,5,5,7,2,2,8,0,-0.360058277845383
"795","Georgia",372,2000,4,"4/9/2000","peace",0,"peace",0,1,98,0,689.3499756,1.098425627,3.440418005,71.65994263,0.002890255,-0.658607953,5,5,8,4,1,5,0,-0.344827979803085
"796","Georgia",372,2008,5,"5/21/2008","vio",0,"peace",0,0,5,1.609437943,3158.879883,1.274373889,2.84490943,70.36235809,0.000109024,-0.750359763,5,6,8,4,2,10,0,-0.360058277845383
"797","Azerbaijan",373,2001,1,"1/7/2001","peace",0,"peace",0,0,92,3.33220458,693.4550171,1.070415974,4.039536476,81.19756317,0.002816621,0.656978573,2,-7,2,3,2,3,2,-0.357426911592484
